id,Honesty-Humility,Sincerity,Fairness,Greed-Avoidance,Modesty,Emotionality,Fearfulness,Anxiety,Dependence,Sentimentality,eXtraversion,Social Self-Esteem,Social Boldness,Sociability,Liveliness,Agreeableness,Forgivingness,Gentleness,Flexibility,Patience,Conscientiousness,Organization,Diligence,Perfectionism,Prudence,Openness to Experience,Aesthetic Appreciation,Inquisitiveness,Creativity,Unconventionality,Altruism
2,3.63,3.5,4,3,4,3.19,3,3.5,4,2.25,2.94,3.25,3.25,2.5,2.75,2.38,1.75,2.5,3.5,1.75,3.38,3.25,2.75,3.5,4,2.38,2.5,2,1.5,3.5,3.75
3,3.38,4,3.75,2.5,3.25,3.44,3.75,3.25,2.25,4.5,3.5,3.75,3.5,3.25,3.5,3.5,3.75,3.25,3.5,3.5,4.5,4.5,4.25,4.75,4.5,3.81,4.5,3.25,4,3.5,4
4,3.19,3.5,3,2.5,3.75,3.75,3.75,4,3.75,3.5,3.69,4,3,3.75,4,3.19,3.5,3.75,3.25,2.25,2.63,2.75,2.75,2.25,2.75,2.63,2,3.25,2.5,2.75,4
5,3.25,3.25,2.25,4,3.5,3.63,3.75,4.25,2.5,4,2.13,3,2.5,1.25,1.75,3.56,3,4,2.75,4.5,3.63,2.75,3.25,4.75,3.75,2.31,3,2.25,2,2,3
6,3.25,4,5,1,3,2.75,1,2,4,4,3.5,5,3,2,4,2.5,2,1,3,4,3.75,4,4,4,3,5,5,5,5,5,4.75
7,4.06,3.75,5,4.75,2.75,3.06,2.5,3.75,3,3,3.38,3.5,3.75,2.25,4,2.88,2.75,3.5,3,2.25,2.5,1.5,3.25,2.25,3,4.19,4.5,3.5,4.75,4,4.75
8,3.94,3.75,4.25,3.75,4,2.94,3.5,3.25,2.75,2.25,3.19,3.25,3,2.75,3.75,3.75,3.25,4,4.25,3.5,3.38,2.5,3.75,3.25,4,3.81,4,4,3.75,3.5,3.25
9,4.44,3.75,4.75,4.75,4.5,4,3.75,4.25,4,4,3.38,3.5,3,3.5,3.5,3.75,3,4.25,4,3.75,3.69,3.75,3.75,4,3.25,3.31,2.25,4.5,2.5,4,4.25
10,3.63,3.5,4.5,3,3.5,3.25,2,3.25,3.25,4.5,3.5,3.5,3,3.75,3.75,3.31,3,3.5,3.25,3.5,3.88,4.25,3.75,4,3.5,2.69,1.75,2.5,3.25,3.25,4.25
11,3.31,3.25,3,3,4,4,4,4.25,4.25,3.5,2.25,2.25,2,2.25,2.5,3.19,3,3.5,2.5,3.75,2.81,2.75,2.75,2.75,3,3.19,4,2.5,3.25,3,3.25
12,2.81,4,2.75,1.5,3,3.44,3,4.5,3,3.25,3.13,3,3.5,3,3,3.56,3.5,3.5,3.75,3.5,3.25,3.5,2.75,4,2.75,3.75,4,3.25,3.75,4,3
13,3.06,4,3.25,2,3,3.06,3,3,3,3.25,3,3,3,3,3,2.69,3,2.5,3,2.25,3.31,3.5,3,3.25,3.5,3.44,3.5,3.25,3.5,3.5,3.75
14,4.63,4.75,5,4.25,4.5,3.69,2.5,4.5,3.25,4.5,2.25,2,2.5,2.25,2.25,3.13,3,4,3.5,2,2.94,3.5,3,3.5,1.75,2.63,2.5,3,1.75,3.25,4.5
15,3.75,3,4.5,3.75,3.75,2.94,2.75,3.25,2.5,3.25,2.94,2.75,3.25,2.75,3,3.5,3.25,3.75,4,3,4.19,3.5,4.5,4.5,4.25,3.19,2.75,3,4,3,3
16,4.19,4.5,4.5,3.5,4.25,4.25,4.75,4.25,4,4,1.88,1.75,1.5,2,2.25,2.81,2.25,2.75,3.75,2.5,3.25,3.75,3.25,3.5,2.5,3.81,4.25,4,3.75,3.25,4
17,4.25,3.63,4.25,3,4.25,3,3.25,3.5,2.5,3,4,2.81,3,2.25,3.5,2.5,3.25,3.25,2.75,3.75,3.25,3.25,3,4,2.75,3.25,3.5
18,2.81,2.5,4.25,1,3.5,3.31,3,4.25,2,4,2.06,2.25,2.25,1.75,2,2.75,2.25,3.25,3.5,2,3,2.5,2.5,3.5,3.5,3.19,3.75,2.5,3,3.5,3.75
20,3.25,3.25,3.75,2.5,3.5,3.31,3,2.75,3.5,4,4.31,4,4.25,4.25,4.75,3.44,3.75,4,2.75,3.25,2,1.5,2.75,1.5,2.25,4.25,4,3.5,5,4.5,4.5
21,4.06,4.25,5,2.25,4.75,3,3.75,4,2,2.25,2.88,2.25,3.25,3,3,3.56,3.5,3.5,3.25,4,3.81,3.5,4.5,4,3.25,3.81,3.75,3.75,4.25,3.5,4
22,3.5,3,4.25,2.75,4,3.88,3.75,4.25,3,4.5,1.88,1.75,2.25,1.75,1.75,2.63,1.75,2.75,3,3,3.94,3.5,2.5,5,4.75,3.69,4,4.25,2.75,3.75,3.75
23,3.13,3.5,3.5,2.5,3,4.19,4.75,4.25,3.75,4,3,2.75,4,3.25,2,2.38,2.25,1.75,2.75,2.75,2.88,2,3.5,4,2,3.88,3.75,3.5,4.25,4,3
25,3.25,2.75,4.5,3,2.75,3.44,3.5,3.25,3.5,3.5,3.75,4,3,4.5,3.5,3.5,3,3.5,3.75,3.75,3.88,3.75,4.25,3.75,3.75,3.44,4.5,3.25,3.5,2.5,3.5
26,3.5,3.5,3,3.75,3.75,3.19,3.25,3.25,3.5,2.75,2.44,1.5,2,3.25,3,2.94,2.5,2.75,3.5,3,2.44,2.75,2.75,2,2.25,3.25,3,4,3,3,3.25
27,2.63,3,3.25,1.25,3,3.88,3,4.25,3.75,4.5,3.81,4.25,2.75,4.25,4,3.88,3.5,3.5,4.25,4.25,3.31,3.25,3.5,2.75,3.75,3.88,4.75,3.5,4,3.25,4.75
28,3.19,2.75,4,2,4,4.31,4.5,4.75,4.25,3.75,2.19,2.5,1.75,2,2.5,1.88,1.5,2,2.5,1.5,2.56,2,2.75,3.5,2,3.25,4,3.25,3.25,2.5,3.5
29,3.56,3.75,4.5,2.25,3.75,4.38,4.5,5,3.75,4.25,2.06,2.25,2.25,1.75,2,2.94,1.75,3.75,3.25,3,3.44,2.5,4.25,3.75,3.25,4.56,4.25,5,5,4,5
30,4.5,4.25,4.75,4.25,4.75,3.81,3.5,4.25,3.5,4,2.44,3.5,1.5,1.75,3,3.13,2.5,3.5,3,3.5,2.94,2.5,2.25,3.25,3.75,4.31,4.5,4.5,4,4.25,4.25
31,4.06,3.75,3.75,4.5,4.25,3.56,2.75,3.75,3.75,4,2.63,2.5,3,2.5,2.5,3.31,2.5,3.75,3.5,3.5,3.75,3.25,4,4.25,3.5,4.06,4.75,3.75,3.75,4,4
32,2.75,2.75,3,2,3.25,3.25,3.25,2.75,3.5,3.5,3.75,3.25,3.75,5,3,2.81,2.75,2.75,3.5,2.25,3.06,3.5,3.25,2.5,3,3.31,3.75,3.25,3.5,2.75,4.25
33,4,3.75,4.5,4,3.75,3.56,4,3.75,2.75,3.75,2.38,3,1.75,2.5,2.25,3.63,3.25,4,3.75,3.5,3.63,3.5,3.25,3.75,4,3.19,3.75,3,2.5,3.5,3.5
34,3.38,4,3.5,2.5,3.5,2.69,2.5,2.5,2,3.75,3.69,4.5,2.75,3.5,4,3.31,3.5,3.75,4.25,1.75,3.81,4.75,4.5,3.5,2.5,3.5,3.5,4.5,3,3,4.25
35,3.69,3.25,4.75,3.25,3.5,3.44,3.75,3.5,2.5,4,3.56,4,2.75,4.25,3.25,4,4,3.5,4,4.5,3.38,3.5,3.5,3.75,2.75,4.38,4.75,3.25,5,4.5,4.75
36,3.56,2.5,4.5,2.25,5,4.56,4.75,4.5,4,5,3.31,2.75,3.75,4,2.75,3.63,3.75,4,3.25,3.5,4.38,3.25,5,4.75,4.5,4.31,3.75,4.5,4.25,4.75,5
