,Fp1-DELTA,Fp1-THETA,Fp1-ALPHA,Fp1-BETA,Fp1-Gamma,Fp2-DELTA,Fp2-THETA,Fp2-ALPHA,Fp2-BETA,Fp2-Gamma,F3-DELTA,F3-THETA,F3-ALPHA,F3-BETA,F3-Gamma,F4-DELTA,F4-THETA,F4-ALPHA,F4-BETA,F4-Gamma,F7-DELTA,F7-THETA,F7-ALPHA,F7-BETA,F7-Gamma,F8-DELTA,F8-THETA,F8-ALPHA,F8-BETA,F8-Gamma,P7-DELTA,P7-THETA,P7-ALPHA,P7-BETA,P7-Gamma,P8-DELTA,P8-THETA,P8-ALPHA,P8-BETA,P8-Gamma,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,id,category,label_h,label_e,label_x,label_a,label_c,label_o
0,-99.35729131495455,-92.5151939279025,-95.56188774217497,-103.28039985440313,-110.8005389332122,-117.2521896927904,-120.25569691018626,-122.32629824886794,-122.46925327550571,-123.48829742119983,-124.2286064749758,-124.3139276942342,-124.47623219507507,-126.61031426563494,-125.11681401547904,-123.95958636564225,-126.66666209492112,-127.81341009158963,-126.41315528514627,-128.05990359929498,-129.30174778425385,-129.38087270128645,-129.30616774207894,-131.8594778850438,-131.8928391913126,-125.73633609058304,-124.65434588127897,-130.23380304945792,-130.96886334237843,-129.28789921153455,-130.97574971009277,-131.0079354581605,-131.09547879849984,-131.83536787143564,-131.21339185107408,-130.76982571804126,-131.31849333611166,-132.3840963843842,-132.01607898336545,-132.95866354250492,-134.993555493706,-131.98217148869097,-132.92219496402248,-134.7682361118861,-134.52403560746322,-135.72623617706085,-134.9549200118398,-133.87271869771072,-134.81043593521284,-135.48127645848223,-135.3829580359352,-138.203420444403,-139.04226487967597,-135.47636579171586,-136.74665314414588,-136.2995224622867,-135.4405689990792,-136.4264299075131,-136.63661632920534,-137.55130894479137,-139.00002663910857,-138.65145017968274,-137.33695628970435,-137.50838160718328,-140.32656252733636,2,3,1.0,0.0,0.0,0.0,0.0,0.0
1,-106.07659682748205,-95.0235781949313,-99.11511382851073,-105.70760192634589,-112.38816591875162,-115.5876696545736,-117.64668460864131,-120.96535994317483,-122.18029291326035,-124.18134983402267,-122.95046193229572,-122.33401884383959,-124.46479515268612,-125.90732538767321,-124.879075061788,-123.05564497616045,-124.08094088957291,-128.64027654059495,-131.60128834694513,-131.29365060196534,-130.76350142094367,-130.00917463546037,-130.88417717721003,-132.2459115011149,-132.0493205119126,-132.0748840315903,-131.17603660935023,-131.54426874783962,-131.94360934404295,-131.61496608730286,-131.9144702103728,-132.59261518123793,-132.00714063683404,-131.23999282006923,-131.28002474214617,-133.2695364063131,-134.21586284409238,-134.6893177029691,-133.1413162190844,-131.60525925890627,-132.22221631467934,-134.16913525134984,-133.77646591458284,-133.35946508359933,-135.2615099767778,-134.5920424418948,-134.04190877635335,-135.59598354961,-135.65072106560962,-135.95080650982015,-135.60730008945526,-137.4140184480628,-137.69633829352534,-137.3743874923232,-137.92596531422572,-137.73521916322483,-137.69818956264604,-136.9941471526305,-138.47267766306524,-138.1694804586292,-138.34203768936317,-138.96764387186482,-137.80770318392962,-137.5689647287801,-140.21654881758042,2,3,1.0,0.0,0.0,0.0,0.0,0.0
2,-104.17775394780801,-95.6887512116318,-101.76041962657587,-107.26937296983917,-113.61079138541811,-116.91826547953411,-118.90628854887007,-120.58767267690382,-123.07341326841993,-124.83742239127594,-123.14875057550663,-123.68498391209896,-125.9706696661383,-125.5828066619035,-124.26481821738318,-123.39888374523412,-126.0409523324154,-128.6303351777217,-129.745988454851,-129.14021128822807,-130.42030629196768,-129.2321971471622,-128.93472614007788,-132.3173555555066,-130.6849906868037,-130.81742663607724,-133.04440567278576,-130.88239472583285,-130.72344705337463,-130.4171284476905,-130.42699925103622,-130.85219628791918,-133.00190531471853,-133.07631949162928,-133.35861982997557,-132.12934838489514,-133.60420687855134,-132.81414445772032,-131.91388549469096,-132.69725866677206,-134.03090165525634,-134.65892070156815,-135.63183229138866,-135.093291640939,-135.43293166925596,-134.48302046921117,-133.76449136669802,-134.6706773392558,-134.50853032929692,-135.239970859643,-137.2753662860909,-139.64893872249854,-137.80076610035667,-137.67618289315237,-137.8082707374011,-137.73845200502956,-137.98881964135302,-138.1660878652709,-136.8377112547114,-140.7454644365292,-137.95687601764885,-138.0792135363232,-138.79590115061137,-139.5745543960329,-141.93631940848334,2,3,1.0,0.0,0.0,0.0,0.0,0.0
3,-100.61140542047909,-94.74687562820719,-100.04788469640647,-112.8941692487671,-116.7417535927674,-118.0396981771858,-119.0777432986625,-120.42033537706851,-122.2629782821063,-123.68025795483844,-124.24430004163486,-125.75441597637331,-127.22875841381654,-126.11253536887776,-123.53523031139983,-123.34434179513036,-128.02719681502504,-130.2617468997034,-129.06811437370013,-129.77523978655495,-129.50653210196256,-130.27176141244723,-129.70471218456981,-130.47344558968842,-132.85646173495735,-132.617812132849,-132.4233871313436,-132.05198848389256,-131.0415784526064,-128.9402427678072,-129.3052550137765,-131.48014993551374,-131.43366058417388,-131.92060021991833,-131.6158990659304,-132.23611912764983,-133.81643245440966,-132.29294350150815,-132.74273985363098,-133.37500484249145,-133.4610036613558,-132.50055483044693,-133.4394795762046,-134.93075710877906,-134.8539142311102,-134.30385652041397,-133.8230728121818,-133.69627951626214,-135.24407690586574,-135.0060875414926,-135.3570044019071,-138.64768977818525,-137.0454096090615,-136.23268834946973,-136.9798920506217,-137.83228246685132,-137.7814036322595,-138.03862297517838,-138.53080361644083,-137.4968282178636,-137.5863185338951,-139.13554543993615,-138.59273684156457,-139.32603477819558,-142.3474318360995,2,3,1.0,0.0,0.0,0.0,0.0,0.0
4,-104.6662758837236,-96.68895135891921,-99.1559711746213,-106.59962262678818,-113.80047611644753,-119.51274541405436,-120.06754461118703,-119.25585463512876,-120.2968189368798,-124.12096787585426,-122.18452813979746,-123.42929461677578,-125.3018256189791,-128.63435215864473,-126.43814347115051,-122.36128706840142,-125.04645081237422,-128.27379677120146,-127.64332789803994,-128.57356189540644,-128.06799771622678,-129.65325928907123,-130.61747513916075,-130.7991966167815,-131.21014321871812,-131.10483944254435,-131.16986286064167,-129.7931769380195,-131.89370769692982,-132.9634827233054,-132.56294809129977,-132.43886765908792,-133.5921678719739,-131.56156080082002,-131.40262287222174,-133.18449479216642,-132.6062027813723,-133.53387236053368,-133.50523795072948,-133.5420625625898,-133.3837446866224,-134.25693094719435,-134.5705760489637,-134.40286428610372,-135.45564467539614,-133.97852952001762,-135.67220126481251,-136.7696277950319,-137.06360813830833,-136.61804347177676,-137.4992479531218,-138.60158137916486,-138.47100655538372,-137.71642158634822,-137.23640812611785,-138.39485699859065,-137.83475447809946,-138.08119549456148,-138.16494917537685,-138.50952143752565,-138.65521609273728,-138.7456627346103,-138.36830022544513,-137.0527804427101,-140.05070982418457,2,3,1.0,0.0,0.0,0.0,0.0,0.0
5,-117.8324282526865,-109.4906184844053,-112.99365904770892,-116.80717629482032,-118.27951411591535,-117.23718412125451,-120.32722594896818,-122.08368685066387,-123.84430651175167,-124.3756536629736,-123.92993922406667,-124.14818078906205,-126.36122560956127,-127.15199795917724,-124.96654631546177,-122.13647079356019,-126.24280351334953,-127.61815948153584,-129.30025866070415,-128.9532390765481,-127.48699032258455,-126.81610023681424,-128.36000195876287,-125.50336800521305,-120.50491442414878,-111.38094412922393,-111.4665170930654,-118.44001577784007,-124.01061475505034,-127.69385533538244,-128.02591331839164,-130.28618845014978,-131.05988445288008,-130.81403174345616,-131.9503297424526,-131.12993243008597,-132.41297067595582,-133.18354241134506,-133.6178335200307,-133.91557505472935,-131.46345697256783,-132.85625758502337,-137.02473007716446,-134.26969509943018,-134.24703641187105,-133.22693283579736,-134.29942550466058,-135.59109796512192,-135.73919006870554,-134.25540983953854,-133.15296891945843,-135.11690481681023,-136.20189042197302,-137.10374050698246,-138.0730705966392,-136.95936271813116,-135.99893967837465,-137.17675622201148,-135.9188698433299,-138.27274200076567,-137.57726413000373,-138.6727721692207,-137.47224214743403,-137.2701910436187,-141.572628394763,2,4,1.0,0.0,0.0,0.0,0.0,0.0
6,-104.17743454999632,-93.23587300360185,-101.40072252832651,-111.55058500473291,-117.21476350666364,-118.56866231534916,-117.81637975929725,-121.75616012531906,-123.157252808625,-123.55068036075073,-121.26520111272255,-123.65239149785923,-124.3858112593046,-125.65596518936357,-124.68358015193736,-122.21508957754268,-125.19052315702275,-127.62437965438289,-128.49617382409497,-126.9660098274798,-128.91148952420284,-128.58550581006318,-129.0844314810568,-128.56932833502862,-129.5359246565058,-130.75451730603842,-130.91486754340747,-129.23385079232577,-130.2802539895959,-129.10126957495675,-128.4082105007186,-131.0603898439074,-132.50157844539797,-131.500662338677,-131.07673282300465,-132.3149090537291,-132.20412125845618,-132.43513335256804,-132.87053641772798,-134.58044858733143,-133.61587534626835,-132.2600648549151,-134.3362024698874,-134.4761317491639,-133.56888019047813,-133.11554022912208,-132.22713662428848,-135.2613546896386,-134.05857991968676,-134.37538149988814,-134.29788355065247,-136.96405634180647,-135.74933490752937,-136.14151836609028,-135.97398778692917,-134.19007395511065,-136.15998034355556,-136.53561961396906,-137.971788734779,-138.40314967176874,-136.88399071291383,-137.68999967111418,-139.65478332122728,-137.09476435809086,-142.42775557084724,2,4,1.0,0.0,0.0,0.0,0.0,0.0
7,-109.60563350926641,-102.01381376158443,-104.47123326869608,-111.60041751006486,-117.74249011899835,-119.6559918981987,-120.21212222975188,-122.1404171407398,-123.64927128078934,-123.95638468517862,-124.88649768544386,-126.30426586838055,-125.68570435441417,-125.3991340607135,-124.65347198206169,-122.63173956386431,-126.109969310805,-129.0140329157693,-128.6774519152232,-129.43602724675011,-131.79989539251028,-131.73095742073446,-130.07150452587754,-131.40991009337384,-131.1694605780696,-131.80192616127306,-132.7932111889786,-129.93493673558982,-129.6320462008407,-132.54861361445788,-132.11371735454975,-132.44363112519835,-132.85950794938606,-131.20563935375833,-131.42103803171204,-133.8892142453955,-132.91595328940272,-133.73318349786533,-133.97701553758344,-132.10270556878277,-133.34238976791988,-133.43376018591567,-136.01848812146832,-135.31543411104303,-134.60395862147558,-134.270666736562,-135.48426533915898,-136.7447616118338,-136.12633730098378,-134.66252677583694,-135.34682117122279,-136.83390820367148,-137.85580852264937,-136.74002578535783,-137.3790569503727,-137.61577457011362,-137.8134123365947,-139.38504659821265,-138.92662691941698,-138.6101800896103,-138.38133495879416,-139.0475566807331,-138.90980531981506,-139.08205078985745,-142.08468798083564,2,4,1.0,0.0,0.0,0.0,0.0,0.0
8,-106.5856503617241,-92.48416950434562,-100.00020792518404,-108.05015954514168,-115.36752785628059,-117.45062536022323,-119.04711193539566,-121.20860353021685,-122.3083526912024,-122.12247837178124,-122.43429137306352,-123.62677197453074,-124.1872182137962,-124.02030539835602,-124.59393556084669,-121.84023038942271,-125.19713317783041,-126.1997704469161,-126.99582787509017,-128.00234348917132,-128.12087996005357,-129.91505419563833,-128.7895657723738,-130.41284734215208,-128.15968285340927,-128.99612719206627,-130.49026093867727,-130.46844317683403,-129.7337227195034,-130.13583742674265,-130.0829178070155,-130.07675511311933,-131.6043549532946,-131.2665424004054,-130.87419028872068,-130.88555564515178,-130.1194496868716,-131.73563086032044,-131.2518764985771,-132.60699307094131,-133.34499208991897,-133.29156529121695,-131.0712377386456,-131.82559811663137,-134.00099192191038,-133.69286823423474,-133.4975598816017,-133.7739545600395,-134.9633950436946,-133.8390709026051,-134.16649555195204,-135.94198861723834,-134.0238830643143,-134.87529925238698,-134.12425521696886,-136.2785279959415,-137.80446866357173,-136.66148341423605,-136.9048974798388,-137.29055056951967,-139.33550928274627,-137.8058263968172,-138.08091310914693,-137.70347199794148,-140.66384707834027,2,4,1.0,0.0,0.0,0.0,0.0,0.0
9,-111.35638760413937,-99.20753135615227,-106.2487274189165,-113.0033295095441,-117.93318706473511,-119.05108121801071,-119.24097788567012,-123.22239532677293,-123.9525525215089,-125.0883791538808,-125.26115585175117,-126.21812204731336,-125.70810351605466,-125.95849231489417,-124.37632064364743,-122.8572433633232,-125.60010290320419,-127.58322185704066,-128.709121213117,-128.88639257876738,-129.95093292698704,-129.75590103151785,-129.4715897692039,-129.6490942334559,-130.68045903853258,-132.12597387758734,-131.44504279049247,-131.15932199040193,-131.31868331399107,-130.13006859778196,-130.89069821236322,-131.88231297828727,-132.7183743405093,-132.33964525943125,-132.13993134156976,-131.0878833177458,-131.52272150175716,-131.5338213285914,-132.31189245986016,-133.9615262211997,-134.13282315632043,-134.58967391241836,-133.73025318167032,-134.1893902894017,-134.435466697033,-133.85764850306967,-132.89839941056914,-134.43431172422552,-135.06060227651153,-135.21528418075673,-136.74312319465923,-138.4483843276848,-136.67838646020505,-136.68613977923454,-138.23479242630532,-137.56991260362358,-137.4706120340485,-138.15274597647047,-138.48963747252407,-137.29263530371756,-137.6437005781022,-138.575610166007,-139.62222747135635,-140.94630715599308,-143.49015366406334,2,4,1.0,0.0,0.0,0.0,0.0,0.0
