,Fp1-DELTA,Fp1-THETA,Fp1-ALPHA,Fp1-BETA,Fp1-Gamma,Fp2-DELTA,Fp2-THETA,Fp2-ALPHA,Fp2-BETA,Fp2-Gamma,F3-DELTA,F3-THETA,F3-ALPHA,F3-BETA,F3-Gamma,F4-DELTA,F4-THETA,F4-ALPHA,F4-BETA,F4-Gamma,F7-DELTA,F7-THETA,F7-ALPHA,F7-BETA,F7-Gamma,F8-DELTA,F8-THETA,F8-ALPHA,F8-BETA,F8-Gamma,P7-DELTA,P7-THETA,P7-ALPHA,P7-BETA,P7-Gamma,P8-DELTA,P8-THETA,P8-ALPHA,P8-BETA,P8-Gamma,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,id,category,label_h,label_e,label_x,label_a,label_c,label_o
0,-117.66645940033017,-106.12319182096213,-111.73670000921753,-113.63785850763144,-117.09686323644223,-118.77221545955877,-119.71534208937895,-121.75302698263184,-122.5634001852975,-123.55506129796545,-123.97792267093429,-123.52318515860587,-124.866450056952,-126.97544028089544,-127.16633064550206,-125.14496134637653,-125.60171827897717,-128.28712387117665,-129.9420698742092,-129.88826870591697,-130.64528183973317,-129.42823505902416,-129.52293006447033,-129.7300576802942,-130.05022500988923,-126.73767148249311,-126.33774999416387,-130.59724058946404,-131.15705935341308,-131.98019744893864,-133.53533107273793,-132.9686263775255,-133.25810241804405,-132.88404674151008,-132.32912420407803,-134.2821832275013,-135.2214437894528,-135.97708069998941,-134.90861404128952,-135.05848114128977,-136.26340410461495,-135.1546389922709,-134.46956140082582,-134.71075814729295,-136.02654357845148,-138.6353026701459,-137.04744495751663,-136.75043279156102,-137.64663408852374,-136.91610172931635,-137.0758911843166,-140.9066909451882,-138.22295736989136,-137.06205962934297,-137.63474074245133,-138.66842217378186,-139.11269478439726,-141.7126520399813,-140.40676493570783,-140.00018785889458,-141.3909406721864,-141.24848138242552,-141.5744463642496,-141.1772188939999,-142.07265035681272,2,3,1.0,0.0,0.0,0.0,0.0,0.0
1,-108.5227512005602,-94.71593771566083,-99.69123082794987,-105.06579472970367,-112.49204757045311,-118.15410663848851,-120.98977830241829,-122.26253591968035,-123.18493352127923,-123.27597986161436,-124.355851899477,-125.32207285184955,-125.60940650606895,-126.48686368538138,-124.90087222329359,-125.19325437675121,-126.84401157658827,-129.70594424803582,-131.0433777712766,-130.8458864250719,-130.06124528953248,-131.1230806706021,-129.79890506708503,-130.13963457530645,-130.41973855125406,-132.40999469188273,-134.85149446034114,-131.55455603036313,-131.7415386508104,-130.86827271928217,-131.40772681506175,-133.7163555339465,-134.24584879259123,-133.3811677241099,-132.96040968468503,-134.34790248730218,-134.55907895137665,-135.2750398393046,-135.2565958256383,-137.01438540173183,-136.8228295861137,-138.9286316398743,-137.55583188540757,-136.68703177340126,-137.6854833146424,-137.07924346699193,-137.6819241444704,-137.19432834995752,-138.83384587349317,-137.75980183421433,-137.99624037771326,-141.33745155337186,-138.50173098513358,-137.3601495143704,-140.49671286907548,-140.05634280625645,-140.62343278708815,-140.71771196910967,-139.69323824745177,-141.2411086459899,-142.82440363919832,-140.71792809160485,-141.0267732633223,-140.44054487672759,-142.55268404532353,2,3,1.0,0.0,0.0,0.0,0.0,0.0
2,-113.10286423084705,-102.3476022929934,-107.64770232134964,-111.52015287602859,-114.69575535170101,-116.43526786438173,-116.91302999835702,-119.0912447287615,-124.2777609481652,-123.74943918988095,-124.03170812158463,-126.21442193994508,-126.36764442187378,-127.10987165773864,-125.39620216727577,-123.46843884429478,-124.99184045328548,-127.62768343851417,-128.67100519009708,-129.0102395932342,-130.16319741606142,-128.43800261075333,-129.42633292848214,-131.001043474222,-130.56244857206218,-131.8513956940842,-131.5058266299088,-130.34915394488826,-131.12152136501734,-130.98225432215472,-131.20806940285536,-131.1987382725254,-132.77541980898013,-132.891212821377,-132.26952091609144,-130.9777897117399,-131.74403664817004,-133.6124705439531,-134.67194764030938,-134.4716123874409,-133.63646512351073,-133.31817094366846,-135.22449268152755,-134.7846913806276,-135.67325526197519,-135.8980522650997,-135.84684563864906,-136.3465913983519,-137.33651221430227,-138.19850923834105,-137.8814374009155,-139.5134466231259,-138.96128149730413,-141.5341207002948,-140.0242045627682,-140.3814689206435,-141.98576429195322,-138.96279324198974,-140.43890902564527,-140.27335707166782,-139.2842074007645,-141.00414175857296,-141.3402481722574,-141.4598811524501,-142.6433110741203,2,3,1.0,0.0,0.0,0.0,0.0,0.0
3,-107.47377297683761,-100.042051245506,-101.89440028803496,-107.13809619092265,-111.90551886369983,-115.91789907167217,-117.35670796788108,-120.00076612329369,-122.63278526370186,-124.50152573979466,-122.51660316667179,-123.78492487191458,-127.16439573729681,-126.3934932657459,-124.89165168170324,-123.9163970282298,-128.1123578273804,-129.00536605540762,-130.53689606331864,-130.69578193093292,-129.7916660801801,-129.89011908464352,-132.20337873793184,-132.73265910450473,-130.41890812315702,-131.5499442833082,-133.54601201251825,-131.9839801094216,-131.94885236583082,-131.16761565675586,-132.75253285896466,-132.38454467539333,-133.0265740628179,-132.61584428553766,-134.30338453292478,-134.32998358385527,-134.89650791896645,-136.25369540484957,-136.18726487562463,-135.76609845700506,-134.81473632204566,-134.82770164438134,-135.8260555621892,-137.63912858976744,-137.9189231792714,-138.1614750959356,-137.14034949028547,-136.56479952196423,-136.12500329851636,-139.18741161288577,-139.44937790155927,-142.3458750041536,-141.83592116487736,-140.4024469347638,-140.4431134681031,-139.60090475675935,-141.67805899915047,-141.45769648582402,-141.12616274223743,-139.40817536613176,-140.76735013626205,-140.88519597299458,-140.6873712683294,-141.07618096569757,-144.69013941764078,2,3,1.0,0.0,0.0,0.0,0.0,0.0
4,-109.70835368148917,-102.08510220805623,-104.55180367598203,-110.87000324867998,-114.7967102193592,-116.89207741137956,-117.92710712924921,-120.84965355110836,-123.03314834403946,-123.57424223698285,-123.88829756968768,-123.71038214252856,-123.80302330093167,-124.73427930436378,-124.7201463064508,-123.00885529338076,-126.05100934279783,-128.2552855610385,-128.77489628550967,-129.41781486990533,-130.950165140571,-129.599386907374,-130.85168567186037,-128.19806416934537,-125.6252781122135,-125.0022895713741,-124.94665869521698,-125.788070246172,-130.8618430692377,-133.17832570419563,-133.57916807268649,-134.24821535410808,-134.79850274692362,-133.27047861185892,-132.45506984286243,-133.04981175560323,-133.67852992286038,-135.23968785766576,-135.6840034356515,-134.67991706878553,-135.3240484286512,-136.33445241018987,-137.0172843501626,-135.3489718777807,-135.16490930738468,-137.2953716542023,-137.7265698748479,-136.08322307077253,-136.20100839770896,-135.6680640418171,-136.5988495485021,-138.86667727759036,-137.27807865692944,-137.71736585294482,-139.68576510892333,-136.95502569497006,-139.80164663164314,-138.04508128128833,-138.20282085660727,-141.437437302749,-142.61991272998827,-139.79406439122153,-140.33402746641508,-141.96480424340996,-144.02074757506236,2,3,1.0,0.0,0.0,0.0,0.0,0.0
5,-117.55521020796928,-107.63714513756169,-112.06875965820669,-116.37350680858401,-119.89296911943507,-117.64398005393079,-119.64361293991382,-122.64533908467533,-121.83747608943101,-122.6545553095036,-122.59191726845191,-124.81798434171672,-125.95927819175229,-125.63767129154029,-123.04321014646413,-122.4750155380351,-127.0983595250759,-130.8693995511016,-130.87232948009867,-129.99650406273534,-129.92966720015923,-129.33934313891405,-128.98070113327998,-131.24616818368582,-131.10841093018925,-132.4996311787512,-133.70227504658658,-132.4674726239,-133.6755571605135,-133.26445903920072,-131.79428597637272,-132.8855076156003,-132.96763285336186,-132.32168321682667,-132.01740240446364,-132.60004051061043,-133.56258400016168,-133.2570138014578,-133.69987429414618,-135.7226873949516,-134.54170536097737,-135.30543483277032,-136.32344429356985,-136.555452163206,-136.45292109927783,-136.14694210853122,-136.71197600080652,-135.76191778409734,-135.72885290528126,-138.28738236463994,-139.04803544287492,-139.66815834259077,-138.3187001415535,-138.48196987822936,-138.9593061502244,-139.90159529456957,-140.55402248358092,-141.2561165798223,-139.87396728442272,-138.7758959795085,-140.95571251552923,-142.46736008631424,-142.04744791511166,-142.31939538735958,-145.13503249310244,2,4,1.0,0.0,0.0,0.0,0.0,0.0
6,-110.10711117568006,-100.65786196667482,-105.29823328031726,-110.78827639430827,-114.3625975052889,-116.22932137626074,-118.13066081967604,-121.23111296294962,-122.36061389368503,-124.15467490475837,-123.84698576746763,-122.27798307915889,-124.0418650613959,-124.83636923605856,-124.3499842680015,-122.89764614663116,-125.24498117944533,-128.07973585090815,-128.7844473549293,-129.8211820838734,-131.33073763341594,-131.09645206812172,-130.74866034422658,-129.61873901247796,-130.77058455094192,-131.34147736124368,-131.63424795753403,-131.5989273740038,-132.7642013543159,-132.3916058973233,-131.92607599275416,-132.41411895329466,-133.0490632086998,-132.89325816084175,-131.8511271139759,-135.0635203316523,-133.88149874107802,-132.9228619643482,-135.67370305923725,-134.4203544939901,-135.00879556624187,-136.52758913029703,-134.62926375897067,-136.15666328226143,-135.7317359931471,-137.11192131455525,-137.83670082151409,-138.29199282160832,-138.58664283112722,-138.71962916828204,-139.69548879671135,-139.82725257345584,-139.30024010207583,-140.36660410348065,-139.27003042175977,-140.97745190544455,-142.41969289439874,-142.8604472927071,-141.6627214631964,-141.39646531837315,-142.39513901415827,-141.22639114382636,-141.76520003078303,-141.8346730945342,-144.61906692762682,2,4,1.0,0.0,0.0,0.0,0.0,0.0
7,-119.76902065180519,-108.85453478424392,-111.37679849686164,-113.39347155831098,-115.08240268494214,-116.29792799832204,-118.81030527657464,-119.87608201025851,-120.77618916127356,-122.09608096407305,-122.14189807340776,-123.15265309992215,-124.89427215250849,-125.05617484395438,-123.33569653107325,-121.83840470134926,-124.14144633460685,-126.61234816287391,-129.20055662926717,-131.00894865318347,-129.8678335068156,-131.1222276153594,-131.84109832935835,-131.76850690526234,-131.41461823970283,-131.68716132010258,-132.66909835530953,-131.69439975789166,-133.73229716935415,-133.61670562380908,-133.23697457591575,-134.2613465527454,-133.71240786634186,-132.98589410208564,-134.58865883755746,-135.32786035770545,-133.71873593836395,-134.42811723536192,-133.3566827452212,-136.15083534936167,-137.02039467260644,-136.38164384764877,-135.10694749454754,-134.77063357204526,-135.15033820364434,-136.1919059840282,-135.63788909270005,-136.3135261041084,-136.07339794979512,-137.03272954723784,-138.80074960096889,-142.3825102731683,-139.25908130723317,-138.20216866386528,-139.55594153480175,-141.43479126905322,-141.1842182740513,-140.7276899588567,-142.68258701320354,-141.78455422071838,-142.66924696218712,-140.95403719628152,-142.4883805112137,-141.06118402914026,-142.4353309743284,2,4,1.0,0.0,0.0,0.0,0.0,0.0
8,-109.21994292906093,-103.66596550679544,-108.4402491093683,-112.03894930878559,-112.66478266062995,-115.24235693639909,-118.39576477110188,-120.18020543352728,-119.97993209281829,-120.66125016197924,-121.57295511336775,-123.04025103251347,-122.53382304946277,-123.41884359460933,-123.68568942073564,-123.71488234789788,-126.22811775637476,-127.66474454139913,-130.5918115844739,-129.4995148036166,-129.23561728118904,-129.25448415574127,-130.09780313944358,-129.00055367034096,-130.95313852850754,-130.84498811701675,-131.78921832409242,-131.3608424589722,-132.18263446615413,-133.33253444411426,-131.41565351339628,-131.90546878020058,-133.46072844725518,-132.90662738710458,-134.36494689276168,-133.80037220334404,-133.48333634030982,-134.2529372170457,-134.07314281739392,-133.96245679458235,-136.44855105091432,-135.7838750536791,-134.48469019815082,-136.1605261715851,-137.12080060321168,-137.91182774743604,-136.22196447499738,-135.99363142387358,-135.7173674339411,-136.7462114187352,-137.11233874634073,-139.98518936024522,-139.48310893126234,-139.03137607180832,-141.29197621360905,-140.90676280768946,-141.49205289939837,-141.90522961595988,-141.18479443169466,-141.84507652150646,-140.6505353246376,-142.03844630340876,-141.1537703763845,-142.12266025670704,-142.38528692346418,2,4,1.0,0.0,0.0,0.0,0.0,0.0
9,-112.02042222876848,-104.49424563461493,-110.65158796779853,-114.95430668158562,-117.28160896649676,-118.52645156727952,-120.28927443915002,-121.34948220759568,-122.6304629353646,-123.83828402439838,-125.61593326693922,-127.09138301435058,-126.05650540910231,-125.82295892099638,-124.09899446244992,-122.3568483812595,-125.52871892561518,-127.21982536805353,-129.89110290286024,-130.70097117347393,-129.24785667232823,-131.37047174792593,-130.89332387273663,-129.78859696291443,-130.46460173115014,-131.18605994604047,-132.5126463595275,-131.50556639954883,-132.25465102146947,-130.9446438195571,-131.7756796578771,-131.92141141753132,-132.08859644306506,-134.51623696510947,-133.56866199282183,-132.96080088141022,-134.08461547111074,-135.17244464639188,-135.94458975050932,-135.67709601958381,-134.7102452213371,-135.63084093564254,-137.0554317856438,-137.08522499713857,-136.01339936439433,-136.4634323298496,-137.28071353489963,-138.72530300343993,-137.58812792837102,-139.14044939598173,-139.62370287134462,-141.58000830875272,-142.27039527816711,-140.44547230385487,-139.8664210108734,-140.54508789467914,-140.7980337916901,-140.1047032914897,-141.9988866564472,-142.3215772363234,-140.4276947625515,-141.5779596863647,-141.7079193141797,-143.1210745356539,-146.17357386399198,2,4,1.0,0.0,0.0,0.0,0.0,0.0
