,Fp1-DELTA,Fp1-THETA,Fp1-ALPHA,Fp1-BETA,Fp1-Gamma,Fp2-DELTA,Fp2-THETA,Fp2-ALPHA,Fp2-BETA,Fp2-Gamma,F3-DELTA,F3-THETA,F3-ALPHA,F3-BETA,F3-Gamma,F4-DELTA,F4-THETA,F4-ALPHA,F4-BETA,F4-Gamma,F7-DELTA,F7-THETA,F7-ALPHA,F7-BETA,F7-Gamma,F8-DELTA,F8-THETA,F8-ALPHA,F8-BETA,F8-Gamma,P7-DELTA,P7-THETA,P7-ALPHA,P7-BETA,P7-Gamma,P8-DELTA,P8-THETA,P8-ALPHA,P8-BETA,P8-Gamma,id,category,label_h,label_e,label_x,label_a,label_c,label_o
0,-68.23516733797896,-82.122620617028,-96.5970917906712,-102.01360856996297,-114.81387284765353,-68.12806609060577,-82.29034637327626,-96.87081830079593,-102.37862838653609,-115.95185837610265,-76.35612240505463,-88.48158332827195,-97.18143454411192,-99.0709094469145,-114.19466861437549,-76.46905097079186,-89.40699755630959,-99.10913578895241,-99.39820142661048,-114.71007919765648,-74.54762719881762,-87.44467706194092,-97.46621751559519,-99.61204876464129,-110.08425428104437,-75.1934838850712,-88.84131744008484,-100.32000565496965,-99.7505695003963,-113.70286553570985,-86.0289456133804,-92.33551188594097,-95.71327221724064,-99.79430685186365,-115.6248576149357,-85.85663539499902,-92.73426559231231,-96.30039515520905,-103.04424586049015,-116.38612895676174,2,3,1.0,0.0,0.0,0.0,0.0,0.0
1,-71.65758353865692,-85.96318245798454,-96.30807076292459,-100.52618167419249,-115.19450675761863,-71.47022853897207,-86.12445921306386,-96.71604344930577,-99.43518552666453,-114.3751434333919,-80.25512953294536,-92.63532918717328,-95.12574927483402,-99.1634234253662,-112.20745685131013,-80.02234885631042,-92.59098481373124,-97.71754295467893,-98.4734211869496,-114.03321276872757,-78.48203348204473,-91.5697781181875,-96.21081969741697,-99.03431620822192,-112.06912443527898,-78.39177747964378,-92.03549457153252,-100.28729395770982,-100.92936193341487,-112.49099571991466,-88.2930456193712,-93.86575832893422,-94.57904256099837,-100.4117878688883,-113.39850731209354,-88.77887775563183,-93.71515369615759,-95.15058070429123,-102.68154857219963,-114.84341275902493,2,3,1.0,0.0,0.0,0.0,0.0,0.0
2,-70.76738158596568,-85.62748514578836,-97.25923874409187,-101.25366480778929,-118.08334037513454,-70.63866297609505,-85.6607619660808,-97.58980918255318,-101.47729795424922,-117.99673901096327,-78.70364255290792,-90.96263719894023,-95.7470381660329,-97.54276658715796,-113.96920322060117,-79.14138028315566,-91.6315775616561,-98.30731919155107,-100.07226933065061,-115.65747290218894,-76.89803107040376,-90.65716542816429,-97.63699233767025,-98.17435903568017,-112.6938429070776,-78.1322071940253,-91.79343856539789,-100.18533863633118,-100.26368696797189,-114.99536310063311,-87.29439178118945,-93.58490402282341,-94.63388777777499,-99.16882361617532,-115.16872081306579,-87.64578687144423,-93.36985184204578,-94.73403248482686,-102.50433280546156,-118.15555710803164,2,3,1.0,0.0,0.0,0.0,0.0,0.0
3,-69.53995254587541,-83.98911277653039,-88.98199318292728,-96.06144775419051,-107.22657335216905,-69.42736993835747,-83.5595907446087,-89.05181849682968,-96.68870338162206,-106.70866299436297,-77.42463342879755,-89.85293947547672,-92.9351034062556,-97.30703422247043,-111.27579109254486,-77.65970173898432,-90.38192502139768,-93.41388326507067,-99.0911418032797,-113.68037565405439,-75.52845719875774,-89.45709176016841,-92.61794757393561,-97.67299673152002,-110.52968069719373,-76.61306439598857,-90.02624496856018,-94.35626459409838,-99.29561010073073,-113.26888201910634,-85.48191736941959,-92.33611959714571,-93.66560375381167,-99.81442852614879,-114.42764967580628,-86.21959353084038,-92.09558345650647,-93.28247956968296,-102.86647585113724,-117.46304970897015,2,3,1.0,0.0,0.0,0.0,0.0,0.0
4,-71.37776999100373,-86.42361588809977,-95.47249370802588,-100.31654497867041,-114.04352131263926,-71.08138688480452,-86.31623159853157,-96.91093059609435,-102.66158234785111,-114.38353653348385,-79.20060767135594,-91.8537586962616,-95.27067378110922,-96.99194405518708,-113.18564750699514,-79.34511456497168,-91.25835485683467,-96.80540030266329,-99.7365954834809,-113.27743572645846,-77.74524335571043,-91.55999680188944,-95.64054582540413,-97.2277223605782,-109.50275957326716,-78.15380520440499,-91.86165318356389,-99.76465009512411,-99.66953473525372,-112.64466438804754,-87.41677628880288,-92.0962831281107,-93.906171155843,-97.41806419215577,-113.07843844989031,-87.6645383304914,-91.88006756689464,-93.77024308025263,-104.04659685107013,-114.92518375987503,2,3,1.0,0.0,0.0,0.0,0.0,0.0
5,-90.32247799258795,-94.20028544365536,-99.06914490175298,-100.5138998242296,-116.72499427543383,-90.7892230281299,-94.98223152194483,-99.45167562262756,-100.2442274273437,-116.42661163670505,-89.06636028410232,-92.51455285722584,-97.43432205209251,-98.04352969334643,-114.3591123325446,-90.68418953878532,-94.4501088508292,-98.80748654560608,-97.95006152294098,-113.79126829644763,-89.75625976258448,-94.31001606939427,-97.94713569932458,-97.97077702541276,-111.46269376929726,-91.68538716338936,-98.02653251822994,-100.10702083068871,-99.38015825399691,-113.13871818639718,-89.92717181579425,-92.67821601545688,-95.2007548359222,-100.05524280717643,-112.56146360450829,-89.63203243771247,-92.93944944394924,-95.64882177344734,-103.57251573005036,-115.00220905771471,2,4,1.0,0.0,0.0,0.0,0.0,0.0
6,-74.18320617454731,-92.12474479296317,-95.95239212799315,-100.18839053446867,-117.71218769150352,-74.26858273716688,-91.67742646401874,-96.85424367679424,-101.93149258332973,-118.76710969815355,-80.14707174211247,-92.75212549726868,-95.65304079898294,-97.38186038800117,-114.04213919795028,-81.53287237826416,-94.78725311705048,-97.70736994443665,-100.32727465756491,-116.11580185940753,-77.4553333971468,-93.95525564349691,-95.34723514194623,-97.57094150217922,-111.15495252727241,-81.35428981973043,-96.99572749173554,-100.7084721544208,-100.89411056074981,-113.90569139393328,-86.63663445857435,-92.74841881713246,-94.65386569111948,-100.48992914625299,-115.05134003183673,-87.97893441357851,-93.54886477051278,-94.48782509828418,-101.91747502780487,-118.2281795922634,2,4,1.0,0.0,0.0,0.0,0.0,0.0
7,-79.09059920752225,-91.23639369041582,-98.6057437542243,-101.27631512052272,-115.65720520571324,-79.66478837931353,-92.22472768673869,-98.63319217554053,-102.11249573621478,-117.04543294123779,-84.53913744671844,-92.1167232084708,-96.57144508359863,-97.91325280205024,-113.06187671152956,-86.63147924486852,-94.60910796763882,-99.09192864393225,-99.44693900532896,-114.5875967187733,-82.19500625717033,-92.12951004805156,-97.78365690432521,-97.90609383911777,-112.23927040144153,-88.25501836828983,-97.6809221434865,-100.70954247281276,-100.21200931490172,-115.4560089335776,-88.37797137931832,-92.848344846541,-95.98873488202612,-101.42381175996861,-113.53147617708527,-89.74721558940269,-94.21190360317652,-96.5791051452827,-102.73407244744342,-115.73078112995628,2,4,1.0,0.0,0.0,0.0,0.0,0.0
8,-72.48203468824437,-89.54349200228599,-95.95166941205734,-99.73739280120036,-117.3740123219086,-73.67487591927278,-90.41852434802937,-97.58059928093034,-101.80478354098881,-117.64702588049312,-78.0226988529246,-90.58289820472777,-95.2548229390257,-98.25811641366158,-116.00653148291826,-80.98669522024602,-94.22739266953904,-97.38804380935886,-98.78480697495574,-116.03427344936213,-74.35952965104843,-89.07812176925567,-94.24793759307298,-98.21817719192575,-110.24711986611693,-82.21395813747891,-94.94295691079586,-99.15999065044424,-100.32512453999844,-114.47007478596237,-82.94817572022527,-92.41155045092725,-95.45608565887929,-99.96014431512404,-113.690346787512,-84.82852728228306,-93.36739818535261,-95.85706778706692,-103.09207297426134,-118.48927227692435,2,4,1.0,0.0,0.0,0.0,0.0,0.0
9,-76.30381041067776,-87.87561834318393,-94.69535711277523,-98.94321205078512,-112.44250497101768,-76.3208455085041,-87.09754035276838,-94.1556901758922,-98.96569465056086,-111.27324245706114,-83.01417714414369,-91.84287629720927,-95.7866103629992,-98.3079143469894,-115.03076060030918,-83.95746439089302,-92.05031603611376,-96.52596344113432,-99.10013607325297,-114.57788407366314,-79.79371129975105,-92.67710652851821,-95.79282461788151,-98.97706127260793,-111.37506235352255,-82.89500149588063,-91.3476754810847,-96.70437617930311,-100.40667600504983,-114.44531086630352,-86.92347408394455,-92.24307936840951,-95.36454876624516,-100.41127792383172,-116.69833760877823,-88.09818415436482,-92.48053450646304,-95.52836213709811,-103.69224915953309,-119.4507121138313,2,4,1.0,0.0,0.0,0.0,0.0,0.0
